x,y,z,surface_code
5784575.6,2127790.8,-78.16891591,180ft aquifer
5784575.6,2127790.8,-196.67891591,Middle aquitard
5833332.2,2077531.5,-49.949606900000006,400ft aquifer
5833332.2,2077531.5,-135.0596069,Deep aquitard
5778570.6,2142478.3,25.19305353,Salinas aquitard
5778570.6,2142478.3,-74.59694647,180ft aquifer
5778570.6,2142478.3,-144.35694647,Middle aquitard
5778570.6,2142478.3,-209.99694646999998,400ft aquifer
5778570.6,2142478.3,-397.80694646999996,Deep aquitard
5772063.1,2129882.8,41.99171528,Shallow aquifer
5772063.1,2129882.8,5.011715279999997,Salinas aquitard
5772063.1,2129882.8,-39.99828472000001,180ft aquifer
5772063.1,2129882.8,-129.99828472000002,Middle aquitard
5772063.1,2129882.8,-206.76828472,400ft aquifer
5772063.1,2129882.8,-365.86828472,Deep aquitard
5772063.1,2129882.8,-470.00828472000006,Paso Robles
5822574.7,2081360.0,21.332601100000005,Salinas aquitard
5822574.7,2081360.0,-43.677398899999986,180ft aquifer
5822574.7,2081360.0,-175.4073989,Middle aquitard
5839475.2,2074461.8,55.37074419999999,180ft aquifer
5839475.2,2074461.8,-46.71925580000001,Middle aquitard
5839475.2,2074461.8,-103.43925580000001,400ft aquifer
5839475.2,2074461.8,-191.9192558,Deep aquitard
5775087.1,2161866.3,-60.54132584999999,Salinas aquitard
5775087.1,2161866.3,-125.50132585,180ft aquifer
5775087.1,2161866.3,-164.76132585,Middle aquitard
5775087.1,2161866.3,-325.93132585,400ft aquifer
5775087.1,2161866.3,-441.64132585000004,Deep aquitard
5792219.1,2110417.2,5.008511569999996,180ft aquifer
5792219.1,2110417.2,-160.02148842999998,Middle aquitard
5792219.1,2110417.2,-280.01148843000004,400ft aquifer
5824827.7,2086086.6,54.0399151,Salinas aquitard
5824827.7,2086086.6,10.88991510000001,180ft aquifer
5824827.7,2086086.6,-85.8400849,Middle aquitard
5824827.7,2086086.6,-193.1600849,400ft aquifer
5824827.7,2086086.6,-371.51008490000004,Deep aquitard
5824827.7,2086086.6,-545.6200849,Paso Robles
5747520.9,2156857.3,-73.02243645,Salinas aquitard
5747520.9,2156857.3,-124.94243645,180ft aquifer
5747520.9,2156857.3,-197.54243645,Middle aquitard
5747520.9,2156857.3,-320.74243645,400ft aquifer
5773907.1,2162374.3,-23.465810230000002,Salinas aquitard
5773907.1,2162374.3,-106.15581023,180ft aquifer
5773907.1,2162374.3,-205.01581023,Middle aquitard
5773907.1,2162374.3,-450.03581023,400ft aquifer
5773907.1,2162374.3,-494.60581023000003,Deep aquitard
5851401.2,2068946.9,106.58070330000001,180ft aquifer
5851401.2,2068946.9,36.9507033,Middle aquitard
5815458.1,2117037.7,-81.2759716,180ft aquifer
5815458.1,2117037.7,-181.84597160000004,Middle aquitard
5815458.1,2117037.7,-228.4559716,400ft aquifer
5815458.1,2117037.7,-380.53597160000004,Deep aquitard
5815458.1,2117037.7,-503.1859716,Paso Robles
5791439.1,2162655.1,105.00534540000001,180ft aquifer
5791439.1,2162655.1,-145.0046546,Middle aquitard
5791439.1,2162655.1,-184.99465460000002,400ft aquifer
5791439.1,2162655.1,-446.05465460000005,Paso Robles
5756052.5,2156039.6,22.49717849,Salinas aquitard
5756052.5,2156039.6,-50.01282151000001,180ft aquifer
5756052.5,2156039.6,-190.01282150999998,Middle aquitard
5756052.5,2156039.6,-310.00282151,400ft aquifer
5756052.5,2156039.6,-494.87282151,Deep aquitard
5786577.1,2126652.8,-72.39671024999998,180ft aquifer
5768195.5,2170811.6,-133.43601782,Middle aquitard
5768195.5,2170811.6,-448.73601782000003,400ft aquifer
5750713.0,2166262.8,-114.93659658000001,Salinas aquitard
5750713.0,2166262.8,-150.56659658,180ft aquifer
5750713.0,2166262.8,-268.30659658,Middle aquitard
5750713.0,2166262.8,-352.53659658,400ft aquifer
5750713.0,2166262.8,-481.17659658,Deep aquitard
5794585.6,2158831.3,-110.69627500000001,Middle aquitard
5805242.6,2118088.5,-76.01780037000002,Salinas aquitard
5805242.6,2118088.5,-105.65780037,180ft aquifer
5805242.6,2118088.5,-189.93780037000005,Middle aquitard
5805242.6,2118088.5,-241.77780037000002,400ft aquifer
5869276.7,2035915.6,124.19107350000002,180ft aquifer
5869276.7,2035915.6,81.07107350000001,Middle aquitard
5869276.7,2035915.6,44.34107350000002,400ft aquifer
5756969.0,2157127.8,-7.389703659999999,Salinas aquitard
5756969.0,2157127.8,-182.79970366,180ft aquifer
5756969.0,2157127.8,-212.38970366,Middle aquitard
5756969.0,2157127.8,-407.71970366,400ft aquifer
5756969.0,2157127.8,-479.81970365999996,Deep aquitard
5770050.5,2139301.8,-6.944017600000002,Salinas aquitard
5770050.5,2139301.8,-90.0540176,180ft aquifer
5770050.5,2139301.8,-156.09401759999997,Middle aquitard
5770050.5,2139301.8,-296.03401759999997,400ft aquifer
5770050.5,2139301.8,-372.73401759999996,Deep aquitard
5775973.6,2138058.0,-26.652294479999995,Salinas aquitard
5775973.6,2138058.0,-113.00229448,180ft aquifer
5775973.6,2138058.0,-248.45229447999998,Middle aquitard
5775973.6,2138058.0,-383.38229448,400ft aquifer
5775973.6,2138058.0,-458.47229447999996,Deep aquitard
5833007.7,2088252.8,78.16038660000001,180ft aquifer
5833007.7,2088252.8,-109.1796134,Middle aquitard
5833007.7,2088252.8,-181.81961339999998,400ft aquifer
5795576.6,2119419.5,-80.00280859000001,180ft aquifer
5795576.6,2119419.5,-180.01280859000002,Middle aquitard
5795576.6,2119419.5,-350.00280859,400ft aquifer
5810059.1,2107609.5,21.205808110000007,Salinas aquitard
5772237.6,2147214.5,12.1591491,Salinas aquitard
5772237.6,2147214.5,-24.710850899999997,180ft aquifer
5772237.6,2147214.5,-142.8308509,Middle aquitard
5772237.6,2147214.5,-267.64085090000003,400ft aquifer
5772237.6,2147214.5,-397.73085089999995,Deep aquitard
5772237.6,2147214.5,-476.64085090000003,Paso Robles
5899618.3,2019641.7,186.81616839999998,180ft aquifer
5899618.3,2019641.7,125.00616839999999,Middle aquitard
5899618.3,2019641.7,70.21616839999999,400ft aquifer
5899618.3,2019641.7,5.596168399999982,Deep aquitard
5760287.0,2156537.6,-6.139980429999998,Salinas aquitard
5760287.0,2156537.6,-90.00998043,180ft aquifer
5760287.0,2156537.6,-266.02998043,Middle aquitard
5760287.0,2156537.6,-395.20998043000003,400ft aquifer
5760287.0,2156537.6,-448.20998043000003,Deep aquitard
5829989.2,2091404.9,-105.11643369999999,Middle aquitard
5829989.2,2091404.9,-159.6564337,400ft aquifer
5829989.2,2091404.9,-289.29643369999997,Deep aquitard
5829989.2,2091404.9,-354.8564337,180ft aquifer
5829989.2,2091404.9,-354.8564337,Paso Robles
5770299.5,2131521.5,-88.89241369999999,180ft aquifer
5770299.5,2131521.5,-161.1724137,Middle aquitard
5816575.1,2101657.2,31.641383340000004,Salinas aquitard
5816575.1,2101657.2,-2.3086166599999984,180ft aquifer
5816575.1,2101657.2,-69.99861666,Middle aquitard
5816575.1,2101657.2,-208.32861666000002,400ft aquifer
5816575.1,2101657.2,-270.00861666000003,Deep aquitard
5816575.1,2101657.2,-320.00861666000003,Paso Robles
5837832.7,2078964.4,43.9235443,180ft aquifer
5837832.7,2078964.4,-34.56645569999999,Middle aquitard
5837832.7,2078964.4,-57.426455700000005,400ft aquifer
5850329.2,2058019.7,69.2789409,180ft aquifer
5850329.2,2058019.7,-18.131059099999987,Middle aquitard
5850329.2,2058019.7,-131.4210591,400ft aquifer
5844236.7,2062260.0,61.8673236,180ft aquifer
5844236.7,2062260.0,-59.0626764,Middle aquitard
5801520.1,2141980.0,77.35230809999999,Salinas aquitard
5801520.1,2141980.0,-54.227691899999996,180ft aquifer
5801520.1,2141980.0,-116.2176919,Middle aquitard
5824325.7,2089474.2,57.593337000000005,Salinas aquitard
5824325.7,2089474.2,-23.886662999999984,180ft aquifer
5824325.7,2089474.2,-50.31666299999999,Middle aquitard
5824325.7,2089474.2,-158.756663,400ft aquifer
5824325.7,2089474.2,-294.716663,Deep aquitard
5792902.6,2116274.2,-39.99516639000001,180ft aquifer
5792902.6,2116274.2,-140.00516639,Middle aquitard
5792902.6,2116274.2,-225.01516639000002,400ft aquifer
5792902.6,2116274.2,-300.01516639,Deep aquitard
5792902.6,2116274.2,-375.02516639,Paso Robles
5852236.7,2065266.9,121.39495550000001,180ft aquifer
5852236.7,2065266.9,34.39495550000001,Middle aquitard
5852236.7,2065266.9,-65.54504449999999,400ft aquifer
5763252.0,2139333.3,-123.46739560999998,180ft aquifer
5763252.0,2139333.3,-194.69739561,Middle aquitard
5763252.0,2139333.3,-248.46739561,400ft aquifer
5763252.0,2139333.3,-376.18739561,Deep aquitard
5780201.1,2127287.0,3.5786358999999948,Salinas aquitard
5780201.1,2127287.0,-69.40136410000001,180ft aquifer
5780201.1,2127287.0,-170.70136409999998,Middle aquitard
5780201.1,2127287.0,-329.9413641,400ft aquifer
5764582.0,2149975.3,12.75874096,Salinas aquitard
5764582.0,2149975.3,-69.63125904,180ft aquifer
5764582.0,2149975.3,-167.54125904,Middle aquitard
5764582.0,2149975.3,-207.04125904,400ft aquifer
5781428.6,2134620.3,12.982643179999997,Shallow aquifer
5781428.6,2134620.3,-25.117356820000005,Salinas aquitard
5781428.6,2134620.3,-63.85735682,180ft aquifer
5781428.6,2134620.3,-200.97735682,Middle aquitard
5781428.6,2134620.3,-273.67735682,400ft aquifer
5781428.6,2134620.3,-461.51735682000003,Deep aquitard
5815904.6,2097862.4,-25.005452669999997,180ft aquifer
5815904.6,2097862.4,-100.00545267,Middle aquitard
5815904.6,2097862.4,-160.01545267,400ft aquifer
5815904.6,2097862.4,-260.02545267,Deep aquitard
5815904.6,2097862.4,-340.01545267,Paso Robles
5824903.2,2092812.2,60.61849839999999,Salinas aquitard
5824903.2,2092812.2,17.16849839999999,180ft aquifer
5824903.2,2092812.2,-57.691501599999995,Middle aquitard
5824903.2,2092812.2,-112.14150160000001,400ft aquifer
5824903.2,2092812.2,-218.77150159999997,Deep aquitard
5880605.8,2022808.2,253.99675739999998,180ft aquifer
5880605.8,2022808.2,192.5867574,Middle aquitard
5880605.8,2022808.2,170.24675739999998,400ft aquifer
5880605.8,2022808.2,54.86675739999998,Deep aquitard
5822583.7,2092054.6,-25.595833400000004,Salinas aquitard
5822583.7,2092054.6,-40.51583339999999,180ft aquifer
