BoreholeID,IntervalTop_Depth,IntervalBase_Depth,HydrostratigraphicUnit
788,122.41,171.57,Middle aquitard
788,171.57, ---,400ft aquifer
788, ---,29.69,Salinas aquitard
805,58.95,181.77,Salinas aquitard
805,181.77,247.09,180ft aquifer
805,247.09,478.86,Middle aquitard
805,478.86, ---,400ft aquifer
805, ---,58.95,Shallow aquifer
806,35.29, ---,Salinas aquitard
806, ---,35.29,Shallow aquifer
815,92.99,133.65,Salinas aquitard
815,133.65,325.65,180ft aquifer
815,325.65, ---,Middle aquitard
815, ---,92.99,Shallow aquifer
817,19.48,110.5,Salinas aquitard
817,110.5,197.94,180ft aquifer
817,197.94,315.63,Middle aquitard
817,315.63,417.62,400ft aquifer
817,417.62, ---,Deep aquitard
817, ---,19.48,Shallow aquifer
826,115.23,242.25,180ft aquifer
826,242.25,336.27,Middle aquitard
826,336.27,442.54,400ft aquifer
826,442.54, ---,Deep aquitard
826, ---,115.23,Salinas aquitard
841,114.52,155.33,180ft aquifer
841,155.33,337.43,Middle aquitard
841,337.43,561.9,400ft aquifer
841,561.9, ---,Deep aquitard
841, ---,114.52,Salinas aquitard
861,82.32,142.53,Salinas aquitard
861,142.53,240.79,180ft aquifer
861,240.79,312.38,Middle aquitard
861,312.38,503.46,400ft aquifer
861,503.46, ---,Deep aquitard
861, ---,82.32,Shallow aquifer
868,17.26,62.74,Salinas aquitard
868,62.74, ---,180ft aquifer
868,175.35,515.61,Middle aquitard
868,515.61, ---,400ft aquifer
868, ---,17.26,Shallow aquifer
871,375.88,439.3,Middle aquitard
871,439.3, ---,400ft aquifer
871,746.91, ---,Paso Robles
871, ---,375.88,180ft aquifer
871, ---,746.91,Deep aquitard
872,39.17,106.07,Salinas aquitard
872,106.07,219.47,180ft aquifer
872,219.47,295.67,Middle aquitard
872,295.67,359.54,400ft aquifer
872,359.54,508.81,Deep aquitard
872,508.81, ---,Paso Robles
872, ---,39.17,Shallow aquifer
874,45.77,139.47,Salinas aquitard
874,139.47, ---,180ft aquifer
874, ---,45.77,Shallow aquifer
879,31.8,115.88,Salinas aquitard
879,115.88,220.44,180ft aquifer
879,220.44,270.94,Middle aquitard
879,270.94,433.4,400ft aquifer
879,433.4, ---,Deep aquitard
879, ---,31.8,Shallow aquifer
882,48.93,162.8,Salinas aquitard
882,162.8,242.79,180ft aquifer
882,242.79,402.81,Middle aquitard
882,402.81,562.82,400ft aquifer
882,562.82, ---,Deep aquitard
882, ---,48.93,Shallow aquifer
884,119.47,281.2,180ft aquifer
884,281.2,307.36,Middle aquitard
884,307.36,503.21,400ft aquifer
884,503.21, ---,Deep aquitard
884, ---,119.47,Salinas aquitard
886,143.23,186.59,Salinas aquitard
886,186.59,328.48,180ft aquifer
886,328.48,353.86,Middle aquitard
886,353.86, ---,400ft aquifer
886, ---,143.23,Shallow aquifer
890,70.54,129.99,Salinas aquitard
890,129.99,201.63,180ft aquifer
890,201.63,229.39,Middle aquitard
890,229.39, ---,400ft aquifer
890, ---,70.54,Shallow aquifer
891,83.87,154.73,Salinas aquitard
891,154.73,294.6,180ft aquifer
891,294.6,399.59,Middle aquitard
891,399.59, ---,400ft aquifer
891, ---,83.87,Shallow aquifer
898,14.12,107.94,Salinas aquitard
898,107.94,282.95,180ft aquifer
898,282.95,339.39,Middle aquitard
898,339.39,387.18,400ft aquifer
898,387.18,484.92,Deep aquitard
898,484.92, ---,Paso Robles
898, ---,14.12,Shallow aquifer
903,92.54,225.55,Salinas aquitard
903,225.55,268.8,180ft aquifer
