BoreholeID,IntervalTop_Depth,IntervalBase_Depth,HydrostratigraphicUnit
2805,195.01,265.32,Middle aquitard
2805,265.32, ---,400ft aquifer
2805, ---,37.11,Shallow aquifer
2806,34.53,137.19,180ft aquifer
2806,137.19, ---,Middle aquitard
2806,629.52, ---,Paso Robles
2806, ---,629.52,Deep aquitard
2806, ---,34.53,Salinas aquitard
2818,46.21,146.03,180ft aquifer
2818,146.03,195.95,Middle aquitard
2818,195.95,343.41,400ft aquifer
2818,343.41, ---,Deep aquitard
2821,78.96, ---,400ft aquifer
2821, ---,78.96,Middle aquitard
2827,45.16,91.9,Salinas aquitard
2827,91.9,206.38,180ft aquifer
2827,206.38,323.99,Middle aquitard
2827,323.99, ---,400ft aquifer
2827, ---,45.16,Shallow aquifer
2828,95.88,172.31,Salinas aquitard
2828,172.31,307.41,180ft aquifer
2828,307.41,349.44,Middle aquitard
2828,349.44,579.61,400ft aquifer
2828,579.61, ---,Deep aquitard
2828, ---,95.88,Shallow aquifer
2829,133.31,205.08,Salinas aquitard
2829,205.08, ---,180ft aquifer
2829,406.64,655.72,400ft aquifer
2829,655.72,813.38,Deep aquitard
2829,813.38, ---,Paso Robles
2829, ---,406.64,Middle aquitard
2829, ---,133.31,Shallow aquifer
2830,65.07,120.48,180ft aquifer
2830,120.48,217.86,Middle aquitard
2830,217.86,306.24,400ft aquifer
2830,306.24,721.76,Deep aquitard
2830,721.76, ---,Paso Robles
2830, ---,65.07,Salinas aquitard
2832,71.04,140.79,Salinas aquitard
2832,140.79,249.52,180ft aquifer
2832,249.52,469.22,Middle aquitard
2832,469.22,558.19,400ft aquifer
2832,558.19, ---,Deep aquitard
2832, ---,71.04,Shallow aquifer
2861,129.64,203.1,180ft aquifer
2861,203.1,286.14,Middle aquitard
2861,286.14, ---,400ft aquifer
2861, ---,129.64,Salinas aquitard
10140,102.75,144.88,Salinas aquitard
10140,144.88,357.54,180ft aquifer
10140,357.54, ---,Middle aquitard
10140, ---,102.75,Shallow aquifer
10142,108.94, ---,Salinas aquitard
10142, ---,108.94,Shallow aquifer
10150,46.98,65.56,Salinas aquitard
10150,65.56, ---,180ft aquifer
10150, ---,46.98,Shallow aquifer
10158,59.61,131.12,Salinas aquitard
10158,131.12,300.42,180ft aquifer
10158,300.42,465.14,Middle aquitard
10158,465.14, ---,400ft aquifer
10158, ---,59.61,Shallow aquifer
10163,49.97, ---,Salinas aquitard
10163,101.38,210.7,180ft aquifer
10163,210.7,279.48,Middle aquitard
10163,279.48,606.39,400ft aquifer
10163,606.39, ---,Deep aquitard
10163, ---,49.97,Shallow aquifer
10164,36.41, ---,Salinas aquitard
10164,102.99,177.99,180ft aquifer
10164,177.99,228,Middle aquitard
10164,228,593.01,400ft aquifer
10164,593.01, ---,Deep aquitard
10164, ---,36.41,Shallow aquifer
10166,107.09,182.1,180ft aquifer
10166,182.1,268.82,Middle aquitard
10166,268.82,549.51,400ft aquifer
10166,549.51, ---,Deep aquitard
10167,43.82,83.65,Salinas aquitard
10167,83.65, ---,180ft aquifer
10167, ---,43.82,Shallow aquifer
10191,293.14,355.25,180ft aquifer
10191,395.44,539.24,400ft aquifer
10191,539.24, ---,Deep aquitard
10191, ---,395.44,Middle aquitard
10191, ---,293.14,Salinas aquitard
10263,78.91, ---,Salinas aquitard
10263, ---,78.91,Shallow aquifer
10266,173.55,247.51,Salinas aquitard
10266,247.51,334.14,180ft aquifer
10266,334.14,479.97,Middle aquitard
10266,479.97, ---,400ft aquifer
10266, ---,173.55,Shallow aquifer
10317,132.27,197.17,Salinas aquitard
10317,197.17, ---,180ft aquifer
10317, ---,132.27,Shallow aquifer
10359,144.7,203.09,Salinas aquitard
10359,203.09,247.39,180ft aquifer
10359,247.39,291.68,Middle aquitard
10359,291.68,362.15,400ft aquifer
10359,362.15, ---,Deep aquitard
10359, ---,144.7,Shallow aquifer
10369,146.72,200.26,Salinas aquitard
10369,200.26,275.84,180ft aquifer
10369,275.84, ---,Middle aquitard
10369, ---,146.72,Shallow aquifer
10377,81.06,88.94,Salinas aquitard
10377,88.94,185.78,180ft aquifer
10377,185.78, ---,Middle aquitard
10377, ---,81.06,Shallow aquifer
10382,95.79,120.41,Salinas aquitard
10382,120.41,177.04,180ft aquifer
10382,177.04,253.36,Middle aquitard
10382,253.36, ---,400ft aquifer
10382, ---,95.79,Shallow aquifer
10386,118.44,213.05,180ft aquifer
10386,213.05,237.25,Middle aquitard
10386,237.25,484.34,400ft aquifer
10386,484.34, ---,Deep aquitard
10386, ---,118.44,Salinas aquitard
10389,76.37,182.32,180ft aquifer
10389,182.32,295.86,Middle aquitard
10389,295.86, ---,400ft aquifer
10389, ---,76.37,Salinas aquitard
10392,61.07,131.15,Salinas aquitard
10392,131.15, ---,180ft aquifer
10392, ---,61.07,Shallow aquifer
10407,295.75, ---,400ft aquifer
10407, ---,295.75,Middle aquitard
10449,30.94,101.32,180ft aquifer
10449,101.32, ---,Middle aquitard
10449, ---,30.94,Salinas aquitard
10455,31.63,116.42,180ft aquifer
10455,116.42, ---,Middle aquitard
10455,490.56, ---,Paso Robles
10455, ---,490.56,Deep aquitard
10455, ---,31.63,Salinas aquitard
10473,98.98,124.32,180ft aquifer
10473,124.32, ---,Middle aquitard
10473, ---,98.98,Salinas aquitard
10479,46.8,167.78,180ft aquifer
10479,167.78, ---,Middle aquitard
10479, ---,46.8,Salinas aquitard
10523,109.3,203.73,180ft aquifer
10523,203.73,292.26,Middle aquitard
10523,292.26,371.24,400ft aquifer
10523,371.24, ---,Deep aquitard
10523, ---,109.3,Salinas aquitard
10524,180.78,231.24,180ft aquifer
10524,231.24,297,Middle aquitard
10524,297,368.32,400ft aquifer
10524,368.32,419.76,Deep aquitard
10524,419.76, ---,Paso Robles
10524, ---,180.78,Salinas aquitard
13024,58.9,93.59,Salinas aquitard
13024,93.59, ---,180ft aquifer
13024,431.35,567.09,400ft aquifer
13024,567.09, ---,Deep aquitard
13024, ---,431.35,Middle aquitard
13024, ---,58.9,Shallow aquifer
13060,73.19,153,Salinas aquitard
13060,153,252.24,180ft aquifer
13060,252.24,282.23,Middle aquitard
13060,282.23,522.24,400ft aquifer
13060,522.24, ---,Deep aquitard
13060, ---,73.19,Shallow aquifer
13073,17.03,117.1,Salinas aquitard
13073,117.1,208.41,180ft aquifer
13073,208.41,408.94,Middle aquitard
13073,408.94,556.17,400ft aquifer
13073, ---,17.03,Shallow aquifer
13084,15.09,102.83,Salinas aquitard
13084,102.83,219.83,180ft aquifer
13084,219.83,329.76,Middle aquitard
13084,329.76,571.37,400ft aquifer
13084,571.37, ---,Deep aquitard
13084, ---,15.09,Shallow aquifer
13096,20.67,114.18,Salinas aquitard
13096,114.18,238.18,180ft aquifer
13096,238.18,277.62,Middle aquitard
13096,277.62,546.09,400ft aquifer
13096,546.09, ---,Deep aquitard
13096, ---,20.67,Shallow aquifer
14316,113.7,206.05,Salinas aquitard
14316,206.05,313.97,180ft aquifer
14316,313.97, ---,Middle aquitard
14316, ---,113.7,Shallow aquifer
14326,22.41,132.42,Salinas aquitard
14326,132.42,202.4,180ft aquifer
14326,202.4,397.43,Middle aquitard
14326,397.43, ---,400ft aquifer
14355,148.82,256.83,180ft aquifer
14355,256.83,422.83,Middle aquitard
14355,422.83, ---,400ft aquifer
14355, ---,148.82,Salinas aquitard
14465,118.51,222.81,Salinas aquitard
14465,222.81,370.57,180ft aquifer
14465,370.57,473.13,Middle aquitard
14465,473.13, ---,400ft aquifer
14465, ---,118.51,Shallow aquifer
14487,184.45,199.29,Salinas aquitard
14487,199.29,372,180ft aquifer
14487,372,442.87,Middle aquitard
14487,442.87,560.43,400ft aquifer
14487,560.43, ---,Deep aquitard
14487, ---,184.45,Shallow aquifer
14544,220.68,446.99,180ft aquifer
14544,446.99,475.26,Middle aquitard
14544,475.26,633.87,400ft aquifer
14544,633.87,953.47,Deep aquitard
14544,953.47, ---,Paso Robles
14544, ---,220.68,Salinas aquitard
14565,62.4,92.43,Salinas aquitard
14565,92.43, ---,180ft aquifer
14817,69.69,89.11,Salinas aquitard
14817,89.11,147.94,180ft aquifer
14817,147.94,295.03,Middle aquitard
14817,295.03,434.38,400ft aquifer
14817,434.38, ---,Deep aquitard
14817, ---,69.69,Shallow aquifer
14824,102.7,127.7,Salinas aquitard
14824,127.7,254.64,180ft aquifer
14824,254.64,437.72,Middle aquitard
14824,437.72,569.08,400ft aquifer
14824,569.08, ---,Deep aquitard
14879,90.34, ---,180ft aquifer
14879, ---,90.34,Salinas aquitard
14963,67.9,121.86,Salinas aquitard
14963,121.86,323.33,180ft aquifer
14963,323.33,357.7,Middle aquitard
14963,357.7,452.76,400ft aquifer
14963,452.76, ---,Deep aquitard
14963, ---,67.9,Shallow aquifer
14964,17.64,115.46,Salinas aquitard
14964,115.46, ---,180ft aquifer
14964, ---,17.64,Shallow aquifer
14967,145.15,355.17,180ft aquifer
14967,355.17,480.17,Middle aquitard
14967,480.17,525.19,400ft aquifer
14967,525.19, ---,Deep aquitard
14967, ---, ---,Paso Robles
14967, ---, ---,Salinas aquitard
14967, ---, ---,Shallow aquifer
14983,231.15,276.16,180ft aquifer
14983,276.16,361.14,Middle aquitard
14983,361.14, ---,400ft aquifer
14983, ---, ---,Deep aquitard
14983, ---, ---,Paso Robles
14983, ---, ---,Salinas aquitard
14983, ---, ---,Shallow aquifer
14985,77.07,149.55,Salinas aquitard
14985,149.55,264.25,180ft aquifer
14985,264.25,484.01,Middle aquitard
14985,484.01,623.85,400ft aquifer
14985,623.85,782.26,Deep aquitard
14985,782.26, ---,Paso Robles
14985, ---,77.07,Shallow aquifer
15006,82.73,234.06,Salinas aquitard
15006,234.06,315.56,180ft aquifer
15006,315.56,539.9,Middle aquitard
15006,539.9, ---,400ft aquifer
15006, ---,82.73,Shallow aquifer
15067,28.22,130.65,Salinas aquitard
15067,130.65,296.15,180ft aquifer
15067,296.15,455.99,Middle aquitard
15067,455.99, ---,400ft aquifer
15067, ---,28.22,Shallow aquifer
15080,28.94,191.14,Salinas aquitard
15080,191.14,205.61,180ft aquifer
15080,205.61,433.72,Middle aquitard
15080,433.72, ---,400ft aquifer
15080, ---,28.94,Shallow aquifer
15149,56.53,77.3,Shallow aquifer
15149,77.3,165.54,Salinas aquitard
15149,165.54,233.45,180ft aquifer
15149,233.45, ---,Middle aquitard
15330,116.51, ---,Salinas aquitard
15330,434.34,549.34,400ft aquifer
15330,549.34,699.35,Deep aquitard
15330,699.35, ---,Paso Robles
15330, ---,116.51,Shallow aquifer
15571,81.43,124.51,Salinas aquitard
15571,124.51,252.37,180ft aquifer
15571,252.37,300.9,Middle aquitard
15571,300.9, ---,400ft aquifer
15571, ---,81.43,Shallow aquifer
15661,59.03,121.4,180ft aquifer
15661,121.4,381.55,Middle aquitard
15661,381.55, ---,400ft aquifer
15661, ---,59.03,Salinas aquitard
15662,45.2,122.78,180ft aquifer
15662,122.78, ---,Middle aquitard
15662, ---,45.2,Salinas aquitard
15684,103.96, ---,Salinas aquitard
15684,152.01,262.02,180ft aquifer
15684,262.02,272.03,Middle aquitard
15684,272.03, ---,400ft aquifer
15684, ---,103.96,Shallow aquifer
15722,40.16,66.83,Shallow aquifer
15722,66.83,90.36,Salinas aquitard
15722,90.36,220.48,180ft aquifer
15722,220.48,258.08,Middle aquitard
15722,258.08,486.28,400ft aquifer
15722,486.28, ---,Deep aquitard
15779,100.58,149.15,Salinas aquitard
15779,149.15,194.79,180ft aquifer
15779,194.79, ---,Middle aquitard
15779, ---,100.58,Shallow aquifer
15807,47.16,130.49,Salinas aquitard
15807,130.49,245.32,180ft aquifer
15807,245.32, ---,Middle aquitard
15807, ---,47.16,Shallow aquifer
15809,124.58, ---,180ft aquifer
15809, ---,124.58,Salinas aquitard
15851,89.61,226,Salinas aquitard
15851,226,329.77,180ft aquifer
15851,329.77,397.97,Middle aquitard
15851,397.97, ---,400ft aquifer
15851, ---,89.61,Shallow aquifer
15892,116.51,162.41,Salinas aquitard
15892,162.41, ---,180ft aquifer
15892, ---,116.51,Shallow aquifer
15988,99.21,121.86,Salinas aquitard
15988,121.86,246.99,180ft aquifer
15988,246.99, ---,Middle aquitard
15988, ---,99.21,Shallow aquifer
16014,72.14,150.4,Salinas aquitard
16014,150.4,165.89,180ft aquifer
16014,165.89, ---,Middle aquitard
16014, ---,72.14,Shallow aquifer
16022,45.4,141.66,Salinas aquitard
16022,141.66,214.99,180ft aquifer
16022,214.99,278.33,Middle aquitard
16022,278.33, ---,400ft aquifer
16022, ---,45.4,Shallow aquifer
16031,113.79,136.95,Salinas aquitard
16031,136.95,185.2,180ft aquifer
16031,185.2, ---,Middle aquitard
16031, ---,113.79,Shallow aquifer
16083,93.45, ---,180ft aquifer
16083, ---,93.45,Salinas aquitard
16099,85.4,113.26,Salinas aquitard
16099,113.26, ---,180ft aquifer
16099, ---,85.4,Shallow aquifer
16144,24.9,89.28,Salinas aquitard
16144,89.28, ---,180ft aquifer
16164,571.53, ---,Paso Robles
16164, ---,571.53,Deep aquitard
16171,63.03,112.11,180ft aquifer
16171,112.11,318.73,Middle aquitard
16171,318.73,419.46,400ft aquifer
16171,419.46,619.38,Deep aquitard
16171,619.38, ---,Paso Robles
16171, ---,63.03,Salinas aquitard
16277,106.21,124.59,Salinas aquitard
16277,124.59,167.32,180ft aquifer
16277,167.32, ---,Middle aquitard
16277, ---,106.21,Shallow aquifer
16383,0,91.51,Shallow aquifer
16383,91.51,106.5,Salinas aquitard
16383,106.5,161.49,180ft aquifer
16383,161.49,241.51,Middle aquitard
16383,241.51,442.67,400ft aquifer
16383,442.67, ---,Deep aquitard
16406,64.73,83.54,Salinas aquitard
16406,83.54,140.13,180ft aquifer
16406,140.13,223.36,Middle aquitard
16406,223.36,335.15,400ft aquifer
16406,335.15, ---,Deep aquitard
16406, ---,64.73,Shallow aquifer
17300,179.04,224.32,180ft aquifer
17300,224.32,254.24,Middle aquitard
17300,254.24,478.8,400ft aquifer
17300,478.8, ---,Deep aquitard
17300, ---,179.04,Salinas aquitard
17402,88.76, ---,Salinas aquitard
17402, ---,88.76,Shallow aquifer
17502,45.6,146.16,180ft aquifer
17502,146.16,300.08,Middle aquitard
17502,300.08,377.83,400ft aquifer
17502,377.83, ---,Deep aquitard
17502, ---,45.6,Salinas aquitard
17521,107.05, ---,Salinas aquitard
17521, ---,107.05,Shallow aquifer
17531,87.75,159.44,180ft aquifer
17531,159.44,291.23,Middle aquitard
17531,291.23,361.71,400ft aquifer
17531,361.71, ---,Deep aquitard
17531, ---,87.75,Salinas aquitard
17609,12.16,142.75,180ft aquifer
17609,142.75,172.36,Middle aquitard
17609,172.36,316.73,400ft aquifer
17609,316.73, ---,Deep aquitard
17609, ---,12.16,Salinas aquitard
17610,59.69,110.17,180ft aquifer
17610,110.17, ---,Middle aquitard
17610, ---,59.69,Salinas aquitard
17830,178.7,233.15,180ft aquifer
17830,233.15, ---,Middle aquitard
17830, ---,178.7,Salinas aquitard
17834,128.87, ---,180ft aquifer
17834, ---,128.87,Salinas aquitard
17847,22.37,162.68,Salinas aquitard
17847,162.68,225.71,180ft aquifer
17847,225.71,266.93,Middle aquitard
17847,266.93,400.27,400ft aquifer
17847,400.27, ---,Deep aquitard
17847, ---,22.37,Shallow aquifer
17929,29.8,121.76,180ft aquifer
17929,121.76,180.79,Middle aquitard
17929,180.79,317.02,400ft aquifer
17929,317.02, ---,Deep aquitard
17929, ---,29.8,Salinas aquitard
17933,65.02,132.53,400ft aquifer
17933,132.53, ---,Deep aquitard
17933, ---,65.02,Middle aquitard
17936,44.45,127.94,180ft aquifer
17936,127.94, ---,Middle aquitard
17936,354.75,1406.89,Deep aquitard
17936,1406.89, ---,Paso Robles
17936, ---,354.75,400ft aquifer
17936, ---,44.45,Salinas aquitard
17960,338.21,470.15,400ft aquifer
17960,470.15, ---,Deep aquitard
17960, ---,338.21,Middle aquitard
17997, ---, ---,180ft aquifer
17997, ---, ---,400ft aquifer
17997, ---, ---,Deep aquitard
17997, ---, ---,Middle aquitard
17997, ---, ---,Paso Robles
17997, ---, ---,Salinas aquitard
17997, ---, ---,Shallow aquifer
18010,163.76,275.01,400ft aquifer
18010,275.01, ---,Deep aquitard
18010, ---,163.76,Middle aquitard
18031,79.67, ---,Middle aquitard
18031, ---,79.67,180ft aquifer
18063,73.33,129.57,180ft aquifer
18063,129.57,161.27,Middle aquitard
18063,161.27, ---,400ft aquifer
18063, ---,73.33,Salinas aquitard
18084,75.19,144.73,180ft aquifer
18084,144.73,179.49,Middle aquitard
18084,179.49,326.73,400ft aquifer
18084,326.73, ---,Deep aquitard
18084, ---,75.19,Salinas aquitard
18412,42.04,153.08,180ft aquifer
18412,153.08,194.49,Middle aquitard
18412,194.49, ---,400ft aquifer
18412, ---,42.04,Salinas aquitard
18414,37.47,106.1,180ft aquifer
18414,106.1,181.66,Middle aquitard
18414,181.66, ---,400ft aquifer
18414, ---,37.47,Salinas aquitard
18415,4.11,57.15,180ft aquifer
18415,57.15,97.81,Middle aquitard
18415,97.81, ---,400ft aquifer
18415, ---,4.11,Salinas aquitard
18416, ---, ---,180ft aquifer
18416, ---, ---,400ft aquifer
18416, ---, ---,Deep aquitard
18416, ---, ---,Middle aquitard
18416, ---, ---,Paso Robles
18416, ---, ---,Salinas aquitard
18416, ---, ---,Shallow aquifer
18419,22.44,101.48,180ft aquifer
18419,101.48,240.04,Middle aquitard
18419,240.04, ---,400ft aquifer
18419, ---,22.44,Salinas aquitard
18543,50.21,113.42,180ft aquifer
18543,113.42,168.21,Middle aquitard
18543,168.21,218.78,400ft aquifer
18543,218.78, ---,Deep aquitard
18543, ---,50.21,Salinas aquitard
18587,64.33, ---,180ft aquifer
18587,173.55, ---,400ft aquifer
18587, ---,173.55,Middle aquitard
18587, ---,64.33,Salinas aquitard
18590,61.5,112.06,180ft aquifer
18590,112.06,188.25,Middle aquitard
18590,188.25, ---,400ft aquifer
18590, ---,61.5,Salinas aquitard
18614,89.98,187.37,400ft aquifer
18614,187.37, ---,Deep aquitard
18614, ---,89.98,Middle aquitard
19993,62.57,95.3,Salinas aquitard
19993,95.3,158.78,180ft aquifer
19993,158.78, ---,Middle aquitard
19993, ---,62.57,Shallow aquifer
20028,126.94,177.58,180ft aquifer
20028,177.58,302.72,Middle aquitard
20028,302.72,467.78,400ft aquifer
20028,467.78, ---,Deep aquitard
20028, ---,126.94,Salinas aquitard
20047,118.83,215.69,180ft aquifer
20047,215.69,352.92,Middle aquitard
20047,352.92, ---,400ft aquifer
20047, ---,118.83,Salinas aquitard
20090,138.23,207.33,180ft aquifer
20090,207.33,308.68,Middle aquitard
20090,308.68,412.03,400ft aquifer
20090,308.68,138.23,Salinas aquitard
20090, ---,308.68,Shallow aquifer
20371,50.35,210.88,180ft aquifer
20371,210.88,234.4,Middle aquitard
20371,234.4,263.03,400ft aquifer
20371,263.03,499.58,Deep aquitard
20371,499.58, ---,Paso Robles
20371, ---,50.35,Salinas aquitard
20408,74.57,136.13,180ft aquifer
20408,136.13, ---,Middle aquitard
20408, ---,74.57,Salinas aquitard
20412,41.63,135.34,180ft aquifer
20412,135.34, ---,Middle aquitard
20412, ---,41.63,Salinas aquitard
20560,29.56,86.82,Salinas aquitard
20560,86.82, ---,180ft aquifer
20560, ---,29.56,Shallow aquifer
20561,68.9,140.52,Salinas aquitard
20561,140.52,230.51,180ft aquifer
20561,230.51, ---,Middle aquitard
20561, ---,68.9,Shallow aquifer
20658,68.64, ---,Salinas aquitard
20658,124.15,209.13,180ft aquifer
20658,209.13,274.16,Middle aquitard
20658,274.16,410.28,400ft aquifer
20658,410.28, ---,Deep aquitard
20658, ---,68.64,Shallow aquifer
20683,7.65,84.78,180ft aquifer
20683,84.78,112,Middle aquitard
20683,112,241.32,400ft aquifer
20683,241.32, ---,Deep aquitard
20769,238.86, ---,180ft aquifer
20769, ---,238.86,Salinas aquitard
20806,41.91,270.41,180ft aquifer
20806,270.41,532.76,Middle aquitard
20806,532.76,596.24,400ft aquifer
20806, ---,41.91,Salinas aquitard
20841,86.26,226.26,180ft aquifer
20841,226.26,336.2,Middle aquitard
20841,336.2,511.83,400ft aquifer
20841,511.83, ---,Deep aquitard
20841, ---,86.26,Salinas aquitard
20842,137.04,181.08,Salinas aquitard
20842,181.08,256.34,180ft aquifer
20842,256.34,322.52,Middle aquitard
20842,322.52,344.75,400ft aquifer
20842,344.75, ---,Deep aquitard
20842, ---,137.04,Shallow aquifer
20844,28.09,108.22,Salinas aquitard
20844,108.22, ---,180ft aquifer
20844,520.73, ---,400ft aquifer
20844, ---,520.73,Middle aquitard
20844, ---,28.09,Shallow aquifer
20847,78.51, ---,180ft aquifer
20847, ---,78.51,Salinas aquitard
20848,71.52,84.95,Salinas aquitard
20848,84.95,203.82,180ft aquifer
20848,203.82, ---,Middle aquitard
20848, ---,71.52,Shallow aquifer
20851,45.94,118.74,Salinas aquitard
20851,118.74,263.62,180ft aquifer
20851,263.62,362.4,Middle aquitard
20851,362.4,473.49,400ft aquifer
20851,473.49, ---,Deep aquitard
20851, ---,45.94,Shallow aquifer
20852,78.68,241.35,Salinas aquitard
20852,241.35,361.76,180ft aquifer
20852,361.76,391.73,Middle aquitard
20852,391.73,538.04,400ft aquifer
20852,538.04, ---,Deep aquitard
20852, ---,78.68,Shallow aquifer
20853,122.91,218,Salinas aquitard
20853,218,260.27,180ft aquifer
20853,260.27,291.97,Middle aquitard
20853,291.97,467.83,400ft aquifer
20853,467.83, ---,Deep aquitard
20853, ---,122.91,Shallow aquifer
20854,83.91,116.84,Salinas aquitard
20854,116.84,262.05,180ft aquifer
20854,262.05, ---,Middle aquitard
20854, ---,83.91,Shallow aquifer
20856,90.99,176.19,Salinas aquitard
20856,176.19,266.69,180ft aquifer
20856,266.69,378.01,Middle aquitard
20856,378.01,450.01,400ft aquifer
20856,450.01, ---,Deep aquitard
20856, ---,90.99,Shallow aquifer
20858,22.72, ---,Salinas aquitard
20858, ---,22.72,Shallow aquifer
20859,199.98,269.99,180ft aquifer
20859,269.99,340.01,Middle aquitard
20859,340.01,376.32,400ft aquifer
20859,376.32,484.92,Deep aquitard
20859,484.92, ---,Paso Robles
20859, ---,199.98,Salinas aquitard
20860,12.77,100.89,Salinas aquitard
20860,100.89,272.68,180ft aquifer
20860,272.68,332.93,Middle aquitard
20860,332.93,385.87,400ft aquifer
20860,385.87,495.48,Deep aquitard
20860,495.48, ---,Paso Robles
20860, ---,12.77,Shallow aquifer
20862,132.68,266.81,180ft aquifer
20862,266.81,331.05,Middle aquitard
20862,331.05,400.96,400ft aquifer
20862,400.96,484.05,Deep aquitard
20862,484.05, ---,Paso Robles
20862, ---,132.68,Salinas aquitard
20864,128.67,275.75,180ft aquifer
20864,275.75,349.29,Middle aquitard
20864,349.29,441.9,400ft aquifer
20864,441.9,515.43,Deep aquitard
20864,515.43, ---,Paso Robles
20864, ---,128.67,Salinas aquitard
20870,145.28,279.85,180ft aquifer
20870,279.85,355.3,Middle aquitard
20870,355.3,397.17,400ft aquifer
20870,397.17,500.32,Deep aquitard
20870,500.32, ---,Paso Robles
20870, ---,145.28,Salinas aquitard
20872,37.5,160.57,Salinas aquitard
20872,160.57,257.91,180ft aquifer
20872,257.91,330.59,Middle aquitard
20872,330.59,430.6,400ft aquifer
20872,430.6,510.59,Deep aquitard
20872,510.59, ---,Paso Robles
20872, ---,37.5,Shallow aquifer
20873,0.23,143.25,Salinas aquitard
20873,143.25,273.27,180ft aquifer
20873,273.27,398.28,Middle aquitard
20873,398.28, ---,400ft aquifer
20874,95.15,126.91,Salinas aquitard
20874,126.91,217.28,180ft aquifer
20874,217.28, ---,Middle aquitard
20874, ---,95.15,Shallow aquifer
20879,67.23,172.78,180ft aquifer
20879,172.78,279.77,Middle aquitard
20879,279.77,356.73,400ft aquifer
20879,356.73, ---,Deep aquitard
20879, ---,67.23,Salinas aquitard
20880,29.71, ---,Salinas aquitard
20880,343.1, ---,Deep aquitard
20880, ---,343.1,400ft aquifer
20880, ---,29.71,Shallow aquifer
20881,69.14,112.43,Salinas aquitard
20881,112.43,181.92,180ft aquifer
20881,181.92,221.14,Middle aquitard
20881,221.14,389.26,400ft aquifer
20881,389.26, ---,Deep aquitard
20881, ---,69.14,Shallow aquifer
20882,44.24,88.22,Salinas aquitard
20882,88.22,230.83,180ft aquifer
20882,230.83,386.3,Middle aquitard
20882,386.3,441.92,400ft aquifer
20882,441.92, ---,Deep aquitard
20882, ---,44.24,Shallow aquifer
20883,50.53, ---,Salinas aquitard
20883, ---,50.53,Shallow aquifer
20884,40.49,80.89,Salinas aquitard
20884,80.89,270.51,180ft aquifer
20884,270.51, ---,Middle aquitard
20884, ---,40.49,Shallow aquifer
20885,15.1,125.26,Salinas aquitard
20885,125.26, ---,180ft aquifer
20885, ---,15.1,Shallow aquifer
20886,13.29,127.33,Salinas aquitard
20886,127.33, ---,180ft aquifer
20886, ---,13.29,Shallow aquifer
20889,69.8,124.86,Salinas aquitard
20889,124.86,171.1,180ft aquifer
20889,171.1,226.16,Middle aquitard
20889,226.16, ---,400ft aquifer
20889, ---,69.8,Shallow aquifer
20890,92.95,176.39,180ft aquifer
20890,176.39,289.12,Middle aquitard
20890,289.12, ---,400ft aquifer
20890, ---,92.95,Salinas aquitard
20891,89.9,117.66,Salinas aquitard
20891,117.66,220,180ft aquifer
20891,220,269.41,Middle aquitard
20891,269.41, ---,400ft aquifer
20891, ---,89.9,Shallow aquifer
20893,19.1,60.57,Salinas aquitard
20893,60.57,202.29,180ft aquifer
20893,202.29,419.34,Middle aquitard
20893,419.34, ---,400ft aquifer
20893, ---,19.1,Shallow aquifer
20894,38.87,165.21,Salinas aquitard
20894,165.21,286.81,180ft aquifer
20894,286.81, ---,Middle aquitard
20894, ---,38.87,Shallow aquifer
20895,87.93, ---,180ft aquifer
20895, ---,87.93,Salinas aquitard
20896,117.26, ---,180ft aquifer
20896, ---,117.26,Salinas aquitard
20897,148.93,174.53,180ft aquifer
20897,174.53,387.85,Middle aquitard
20897,387.85,471.41,400ft aquifer
20897,471.41, ---,Deep aquitard
20897, ---,148.93,Salinas aquitard
20898,39.17, ---,Salinas aquitard
20898, ---,39.17,Shallow aquifer
20900,55.26,146.96,Salinas aquitard
20900,146.96,200.48,180ft aquifer
20900,200.48, ---,Middle aquitard
20900, ---,55.26,Shallow aquifer
20901,69.75, ---,180ft aquifer
20901, ---,69.75,Salinas aquitard
20902,44.45,77.91,Salinas aquitard
20902,77.91, ---,180ft aquifer
20902, ---,44.45,Shallow aquifer
20903,189.99,207.85,Salinas aquitard
20903,207.85, ---,180ft aquifer
20903, ---,189.99,Shallow aquifer
20904,158.77,233.87,Salinas aquitard
20904,233.87,274.79,180ft aquifer
20904,274.79,325.99,Middle aquitard
20904,325.99,379.32,400ft aquifer
20904,379.32,554.25,Deep aquitard
20904,554.25, ---,Paso Robles
20904, ---,158.77,Shallow aquifer
20933,60.1,105.94,180ft aquifer
20933,105.94,174.71,Middle aquitard
20933,174.71, ---,400ft aquifer
20933, ---,60.1,Salinas aquitard
21139,56.16,118.25,Salinas aquitard
21139,118.25,169.82,180ft aquifer
21139,169.82,437.06,Middle aquitard
21139,437.06, ---,400ft aquifer
21139, ---,56.16,Shallow aquifer
21149,100.01,145.97,180ft aquifer
21149,145.97,175.45,Middle aquitard
21149,175.45,340.21,400ft aquifer
21149,340.21, ---,Deep aquitard
21149, ---,100.01,Salinas aquitard
21203,79.1,162.38,180ft aquifer
21203,162.38,232.91,Middle aquitard
21203,232.91, ---,400ft aquifer
21203, ---,79.1,Salinas aquitard
21204,11.49,85.45,Salinas aquitard
21204,85.45,216.05,180ft aquifer
21204,216.05, ---,Middle aquitard
21204, ---,11.49,Shallow aquifer
