BoreholeID,Easting,Northing,Elevation,TotalDepth,AlternateID
23440,5837977.5,2086951.2,126.1676511,769.0375272,16S05E18Q50
23478,5798157.2,2161086.4,162.3737948,500.0244,14S03E11B51
23480,5778425.7,2155133.2,78.43039605,620.030256,14S03E18H50
23484,5778877.6,2131207.9,47.30491791,500.0244,15S03E05N50
23485,5802510.3,2122278.7,72.82261064,513.0250344,15S03E13G51
23486,5796718.4,2108954.4,124.3440749,200.00976,15S03E26Q50
23491,5939127.5,1931013.5,629.3295102,203.0099064,21S08E09Q50
23493,5953739,1988658.5,577.6022725,242.0118096,19S08E13N50
23497,5826417.6,2118846.5,243.6634288,376.0183488,15S04E14N52
235,5824827.7,2086086.6,103.3499151,670.032696,16S04E22A50
2352,5832589.2,2107671.2,288.7363846,660.032208,15S04E25P51
23524,5774733.2,2174910.1,188.7244562,305.014884,13S03E30M51
23525,5767135.9,2124927.6,135.4797709,480.023424,15S02E13D50
2353,5822336.2,2105329.7,143.3460489,860.041968,15S04E34F51
23530,5847180.5,2053357.6,192.6885075,185.009028,17S05E21B50
23531,5853101.7,2083981.7,329.288998,823.0401624,16S05E22F01
23545,5762469.7,2166125.2,42.51639003,400.01952,14S02E03H50
23550,5940801.6,1941479.2,449.7509631,405.019764,20S08E33R51
23551,5768918.9,2151454.2,40.14886625,616.0300608,14S/02E-24D50
23602,5964114.1,1856593.7,1006.96168,475.02318,23S09E20Q51
23607,5840437.2,2105330.1,425.0029838,270.013176,15S05E31A02
23654,5818046.8,2099232.9,89.63390157,480.023424,16S04E04K51
23655,5826340.6,2074070.9,154.7712051,460.022448,16S04E35D03
23656,5938262.1,1954775.5,297.6424967,130.006344,20S08E21F03
23657,5826023.4,2104356.6,180.2425015,810.039528,15S04E35M50
23659,5789805.7,2191691.7,477.2958887,340.016592,13S03E09H53
23682,5978457.4,1906206.3,763.3502923,225.01098,22S09E02E50
23683,5946053.2,1937470.6,517.3923792,400.01952,21S08E03J50
